V,alpha,theta,dele
0.8719769692418771,0.4291960557098153,0.47821017384575903,0.4426815380556214
0.87010535813187,0.4284435998773648,0.4800698861723087,0.4465998655455997
0.8682130268258614,0.4276264379808446,0.48189239549176427,0.4519271312185807
0.8663002506636615,0.4267277932370857,0.4836697618384969,0.4591020940805264
0.8643673628781507,0.42572590348598144,0.4853915182417383,0.46856995808893825
0.8624147591458003,0.42459357692907135,0.48704463900852096,0.48070912925951764
0.8604429015962598,0.4232979745862009,0.48861367106667064,0.4957340799691935
0.8584523222220315,0.42180072812108355,0.4900810350226112,0.5135964071052693
0.85644362563892,0.4200585097967763,0.49142748528876695,0.5339222579916025
0.8544174911581727,0.41802416417427957,0.4926327017197792,0.5560259285417054
0.8523746741418566,0.41564847964428425,0.4936759712966265,0.5790151311571807
0.8503160066238792,0.4128826126417372,0.49453690961774743,0.6019599445946517
0.8482423971899815,0.4096810725477861,0.49519616944123956,0.6240629770566147
0.8461548301208477,0.40600503451740155,0.49563608727141173,0.6447697525847178
0.8440543638129869,0.40182559156765063,0.49584122794532376,0.66379392127509
0.841942128502102,0.39712642936014214,0.49579879957139456,0.6810731873351734
0.8398193233230808,0.39190536903754664,0.4954989249323351,0.6966928745873305
0.8376872127493835,0.38617433627647324,0.49493476865078817,0.7108108799689624
0.8355471224623019,0.37995760328847855,0.4941025305360323,0.7236024948896032
0.8334004347072401,0.3732885668623725,0.4930013236923428,0.7352289005436942
0.8312485831996765,0.3662057394338491,0.49163296088533154,0.7458246939111663
0.8290930476477872,0.35874887142462525,0.49000167453661597,0.7554972798530863
0.8269353479617519,0.35095606790198264,0.48811379508270053,0.7643318779879962
0.8247770382215702,0.3428624133340187,0.48597740998149275,0.7723979824876273
0.8226197004757326,0.33450011574303323,0.48360202208474756,0.7797550868898544
0.8204649384424392,0.3258997326376166,0.4809982220392216,0.7864568709376897
0.8183143711832401,0.31709180832945844,0.47817738532064763,0.7925538279930928
0.8161696268161227,0.3081082808133585,0.47515140078051055,0.798094650638224
0.8140323363312872,0.2989832369108544,0.47193243439539306,0.8031267681699661
0.8119041275682516,0.28975288270658794,0.46853272933877793,0.8076963796089824
0.8097866194076703,0.2804548413547012,0.4649644415491295,0.8118482341092388
0.807681416225457,0.2711270326391803,0.4612395085951615,0.8156253206000565
0.8055901026506316,0.261806422772548,0.4573695487588129,0.8190685572446318
0.8035142386619079,0.25252788777477836,0.453365786776063,0.8222165219466853
0.8014553550515315,0.24332334923241009,0.44923900250360127,0.8251052346613889
0.7994149492783965,0.234221251437369,0.4449994988320319,0.8277679859164512
0.7973944817261512,0.2252463752322591,0.44065708537255466,0.8302351992602948
0.7953953723759116,0.21641993507900426,0.4362210747460563,0.8325343148302664
0.7934189978974706,0.20775988160903797,0.4317002886567161,0.8346896843731022
0.7914666891575545,0.19928132708761587,0.4271030713033329,0.8367224731209897
0.7895397291388165,0.19099701926381557,0.4224373080475586,0.8386505697007769
0.7876393512589057,0.1829178039954799,0.41771044760369136,0.8404885107909803
0.7857667380751154,0.17505303431524188,0.412929526330471,0.8422474317641311
0.7839230203568546,0.16741090030828581,0.4081011934868651,0.8439350574127018
0.7821092765054327,0.1599986686931142,0.4032317365596576,0.8455557475760229
0.780326532298464,0.15282283265178065,0.39832710598164606,0.8471106108322174
0.7785757609344939,0.14588918113121938,0.3933929387374994,0.8485976954882192
0.7768578833522499,0.13920280271403676,0.38843458050288293,0.8500122613467973
0.7751737687981638,0.1327680425415029,0.38345710608455924,0.8513471289255792
0.773524235615451,0.12658843200541364,0.37846533802821486,0.8525930959224121
0.7719100522280673,0.12066661035364216,0.3734638633400149,0.8537394047597148
0.7703319382932008,0.11500425532076447,0.3684570483302841,0.8547742408264924
0.7687905659965862,0.10960203675162009,0.363449051635953,0.8556852390790955
0.767286561465802,0.104459603294852,0.35844383551487496,0.8564599770727388
0.7658205062777721,0.09957560797513,0.35344517553179094,0.8570864350044043
0.7643929390379357,0.09494777416836575,0.348456668774321,0.857553407392183
0.7630043570098913,0.09057299953500324,0.3434817407494174,0.8578508558809728
0.7616552177757843,0.08644749208892165,0.338523651117309,0.8579701976265539
0.7603459409092052,0.08256692999474602,0.3335854984222011,0.8579045281590327
0.7590769096439349,0.07892663500727717,0.3286702239776893,0.8576487811424388
0.757848472523419,0.07552174871616008,0.3237806150605921,0.8571998298291184
0.7566609450174372,0.0723474008788298,0.3189193075604423,0.8565565362606133
0.7555146110939583,0.06939885999519127,0.3140887882234912,0.8557197545585553
0.7544097247356987,0.06667165774045707,0.30929139662034727,0.8546922942499117
0.7533465113923536,0.06416168075742536,0.3045293269555112,0.8534788487901591
0.752325169360903,0.061865225454395247,0.29980462982543177,0.8520858935777634
0.7513458710877415,0.059779013720721946,0.2951192140196159,0.8505215570256827
0.7504087643876904,0.057900169747402384,0.29047484844683563,0.848795467816815
0.7495139735761858,0.056226160337282456,0.2858731642560501,0.8469185813736768
0.7486616005121063,0.054754703134173154,0.28131565720921825,0.8449029887867919
0.7478517255498222,0.0534836490189275,0.2768036903511122,0.8427617118758517
0.7470844084000965,0.05241084643131008,0.27233849700955576,0.8405084885700705
0.7463596889004498,0.05153399648587961,0.2679211841483873,0.8381575532482525
0.7456775876965434,0.05085050836026977,0.26355273608501906,0.8357234169503449
0.7450381068369959,0.05035736445856839,0.2592340185747801,0.8332206523708836
0.7444412302848805,0.05005100423681655,0.2549657832554014,0.830663688225163
0.7438869243499066,0.04992723432148433,0.25074867243708293,0.8280666169406953
0.7433751380460104,0.04998117072262838,0.2465832242165962,0.8254430187074053
