Cm_act,Cm_pred,Error
-0.0027393599124790405,-0.0024270169572030986,-11.402041544562161
-0.0027685867501313285,-0.0024279506520776886,-12.303609342834635
-0.0027625901033142344,-0.002432795962712425,-11.937860061330149
-0.0027595111931781324,-0.002442648875327899,-11.482552367736643
-0.00279618059495923,-0.0024588702716760863,-12.06325241979093
-0.00281538222951893,-0.002483173656193667,-11.799768068509401
-0.0028284437549747285,-0.002517742863714263,-10.984870769093352
-0.002870790876303944,-0.0025653897032626855,-10.63822431519127
-0.0028937128427065292,-0.002629763875812846,-9.121463712577924
-0.002861877120767832,-0.0027156294682794332,-5.110200274746982
-0.0028499345848833346,-0.002829222569075057,-0.7267540777300082
-0.0029076359167843277,-0.0029787004695239344,-2.4440664090502735
-0.00293796432182563,-0.0031746798325689857,-8.057126799833378
-0.0029770570463946364,-0.003430831687369462,-15.24238984685797
-0.0030606452964423367,-0.0037644453889190688,-22.99515377671572
-0.0033468346226565374,-0.004196783772663755,-25.395612446861023
-0.0038554746010278362,-0.0047529335099764924,-23.277520975223165
-0.004614555060374934,-0.005460751863147144,-18.337559996596
-0.005685780098378328,-0.006348534088907197,-11.656342297126422
-0.007108643903904539,-0.007441346384170135,-4.680252447064524
-0.00879247307438203,-0.008756698815287858,-0.40687368379216093
-0.010681132940165337,-0.01030112991577243,-3.5577033496507147
-0.01279102829586902,-0.01206945969452887,-5.641208702299465
-0.014966869041927233,-0.014046648547108402,-6.148383421014669
-0.017170980211486622,-0.01620776593821024,-5.609547395739432
-0.01925636756398592,-0.018506210626158454,-3.895630550958335
-0.02108512689178013,-0.02084032582859745,-1.161012994795466
-0.02261034193260863,-0.023008198126987782,-1.7596204231010129
-0.023786095102065825,-0.024710098822750604,-3.884638132992788
-0.024579070183086225,-0.025678198638930224,-4.471806490875112
-0.025057835217859415,-0.02587050496621753,-3.2431762013460013
-0.025200086543107722,-0.025496900370862358,-1.1778286048617355
-0.02509162156894232,-0.024840381024085183,-1.001292579544214
-0.02476111324044823,-0.024111639096175145,-2.6229601955543047
-0.02424596666862192,-0.023438455848416972,-3.330495464427047
-0.02360294859967832,-0.022889620827095326,-3.022197712165147
-0.022875187528769225,-0.022469712833863908,-1.7725524409160236
-0.022185373253723627,-0.022109582828725605,-0.3416233936262546
-0.021381930297380725,-0.021688602021403245,-1.43425649488759
-0.02050935053245963,-0.02108890278390158,-2.825795241661626
-0.019585727370974623,-0.020247651740008185,-3.3796261762251993
-0.018570374163239832,-0.019174400469726866,-3.252634013603818
-0.01753407303502173,-0.017931644949555306,-2.267424766279263
-0.016516004875548128,-0.016601071792238044,-0.5150574689879017
-0.015415731260556832,-0.015256779274952281,-1.0311024687570272
-0.014333006156823834,-0.013952738132205607,-2.653093290113355
-0.013281503617399222,-0.012721432613388838,-4.216924680701608
-0.012094166264254025,-0.011577990219432129,-4.267975431655225
-0.010962748711777132,-0.010525623547514469,-3.987368275559075
-0.009943043596021536,-0.009560365545736998,-3.848701321571767
-0.008922150535669734,-0.008674518659599992,-2.7754729656234653
-0.008027799731103527,-0.00785890738539758,-2.1038435357521106
-0.007223209764347628,-0.0071042282187713315,-1.647211550792372
-0.0064786491637182295,-0.006401789066307076,-1.1863599257941913
-0.005780407581903728,-0.005743863871634877,-0.6321995421785692
-0.005086947787604629,-0.005123817877221791,-0.7247978779535275
